Time,X,Y,Z,Norm
9.538,-6.98,19.93,-5.49,21.82
9.553,-7.47,19.93,-5.59,22.01
9.573,-7.37,20.32,-5.40,22.28
9.594,-7.37,20.81,-5.30,22.70
9.615,-7.08,20.32,-5.49,22.21
9.633,-7.27,20.81,-5.30,22.67
9.654,-7.27,20.71,-5.40,22.61
9.674,-7.17,20.32,-5.49,22.24
9.694,-6.98,20.52,-5.20,22.29
9.728,-7.37,20.52,-5.40,22.46
9.745,-7.27,20.71,-5.98,22.75
9.754,-7.17,20.61,-5.40,22.48
9.774,-7.17,20.71,-5.30,22.55
9.795,-7.66,20.61,-5.20,22.60
9.816,-7.27,20.32,-5.49,22.27
9.838,-7.37,20.32,-5.40,22.28
9.855,-7.47,20.61,-5.10,22.51
9.875,-7.76,20.42,-5.79,22.60
9.895,-7.17,20.71,-5.69,22.65
9.915,-6.98,20.52,-5.40,22.33
9.938,-7.47,20.42,-5.79,22.50
9.957,-7.37,20.42,-5.69,22.44
9.977,-7.27,20.61,-5.69,22.59
9.997,-7.47,20.61,-5.20,22.53
10.021,-7.66,20.81,-5.10,22.76
10.037,-7.37,20.61,-5.49,22.57
10.057,-7.66,20.91,-5.30,22.89
10.077,-7.17,20.42,-5.40,22.31
10.098,-7.27,20.81,-5.69,22.77
10.118,-7.47,20.42,-5.20,22.36
10.141,-7.17,20.42,-5.79,22.40
10.157,-7.08,20.71,-5.10,22.48
10.177,-7.37,21.01,-5.40,22.91
10.197,-7.17,20.81,-5.49,22.69
10.218,-7.37,20.22,-5.30,22.17
10.240,-7.86,20.81,-5.49,22.91
10.263,-7.17,20.61,-5.98,22.63
10.284,-7.37,20.71,-5.10,22.57
10.298,-7.37,20.91,-5.40,22.82
10.318,-7.27,20.42,-5.40,22.34
10.339,-7.17,20.71,-5.89,22.70
10.359,-7.17,20.52,-5.30,22.37
10.380,-7.37,20.61,-5.30,22.52
10.401,-7.47,20.71,-5.69,22.74
10.420,-7.08,20.91,-5.30,22.70
10.439,-7.17,20.81,-5.30,22.64
10.460,-7.47,20.61,-5.30,22.56
10.481,-7.37,21.01,-4.91,22.80
10.500,-7.66,20.71,-5.49,22.76
10.524,-7.37,20.61,-5.89,22.67
10.540,-7.27,20.22,-5.89,22.28
10.562,-7.76,20.52,-5.40,22.59
10.580,-7.37,20.91,-5.59,22.86
10.600,-7.37,20.13,-5.69,22.18
10.622,-7.17,20.71,-5.01,22.48
