Time,X,Y,Z,Norm
5.911,4.64,-11.43,14.71,19.20
5.931,4.25,-10.94,14.22,18.44
5.951,4.44,-11.23,14.71,19.03
5.972,4.73,-11.04,14.61,18.91
5.991,4.64,-10.94,14.42,18.68
6.011,4.44,-11.13,14.52,18.83
6.032,5.03,-11.13,14.42,18.90
6.052,4.54,-11.23,14.32,18.76
6.072,4.73,-11.33,14.61,19.09
6.092,4.25,-10.74,14.61,18.63
6.112,4.64,-10.74,14.32,18.49
6.132,4.93,-11.04,14.61,18.96
6.155,4.54,-10.84,14.71,18.83
6.174,4.73,-11.33,14.22,18.79
6.193,4.73,-11.43,14.42,19.00
6.212,4.25,-11.33,14.81,19.12
6.235,4.54,-10.94,14.22,18.51
6.253,4.64,-10.94,14.42,18.68
6.274,4.93,-11.23,13.93,18.56
6.294,4.73,-11.23,14.42,18.88
6.314,4.93,-10.84,14.13,18.48
6.344,4.83,-11.13,14.42,18.85
6.356,4.93,-11.43,14.52,19.12
6.374,4.64,-11.04,14.52,18.82
6.394,4.34,-10.94,14.52,18.69
6.414,4.73,-11.04,14.71,18.99
6.434,4.44,-10.55,14.61,18.56
6.456,4.54,-10.94,14.32,18.58
6.479,4.64,-10.84,14.61,18.78
6.495,4.64,-11.23,14.81,19.16
6.514,4.54,-11.33,14.61,19.04
6.535,4.73,-11.23,14.52,18.95
6.556,5.32,-11.04,14.32,18.85
6.575,4.54,-11.04,14.52,18.79
6.596,4.64,-11.13,14.13,18.57
6.620,4.73,-10.55,14.61,18.63
6.638,4.44,-11.23,14.32,18.73
6.656,4.83,-11.04,14.32,18.71
6.676,4.15,-11.13,14.61,18.83
6.696,4.64,-11.04,14.71,18.97
6.717,4.93,-10.94,14.32,18.68
6.739,4.64,-11.33,15.10,19.44
6.757,4.64,-10.94,14.81,18.99
6.777,4.83,-11.13,14.81,19.15
6.797,4.34,-11.33,14.52,18.92
6.817,4.54,-10.94,14.52,18.73
6.838,4.64,-10.84,14.61,18.78
6.864,4.93,-11.23,14.61,19.08
6.878,4.93,-11.43,14.42,19.05
6.898,4.73,-11.43,14.42,19.00
6.920,4.73,-10.94,14.61,18.86
6.937,4.54,-11.04,14.91,19.09
6.958,4.73,-10.94,14.71,18.93
6.978,4.64,-11.04,14.52,18.82
6.998,4.83,-10.84,14.32,18.60
