Time,X,Y,Z,Norm
9.134,16.06,14.65,12.07,24.87
9.154,16.06,14.74,12.37,25.07
9.175,15.97,14.45,11.88,24.59
9.194,15.87,14.65,11.68,24.55
9.215,15.77,14.74,11.98,24.69
9.235,15.57,14.74,11.78,24.47
9.255,15.57,14.26,12.17,24.37
9.278,15.97,14.55,11.88,24.65
9.295,15.77,14.55,11.49,24.34
9.315,15.97,14.45,11.98,24.64
9.336,15.67,14.35,12.56,24.69
9.356,15.97,14.55,12.17,24.79
9.377,15.97,14.74,11.88,24.77
9.397,15.87,14.65,12.07,24.74
9.416,15.48,14.16,11.59,23.96
9.435,15.97,14.35,11.78,24.49
9.456,15.87,14.84,11.88,24.76
