Time,X,Y,Z,Norm
5.671,-0.93,-18.46,15.98,24.43
5.691,-1.32,-18.56,16.18,24.65
5.713,-0.64,-18.56,15.88,24.43
5.732,-0.93,-18.07,16.18,24.27
5.751,-1.12,-18.56,16.27,24.71
5.773,-1.22,-18.17,16.47,24.55
5.792,-0.93,-18.65,16.18,24.71
5.812,-1.12,-18.46,15.98,24.44
5.831,-1.03,-18.65,15.79,24.46
5.852,-1.12,-18.26,15.79,24.17
5.872,-1.12,-18.65,15.39,24.21
5.892,-0.54,-18.65,16.08,24.63
5.911,-0.93,-18.17,16.37,24.47
5.931,-1.03,-18.26,16.08,24.35
5.951,-1.03,-18.75,16.27,24.85
5.972,-1.03,-18.65,16.18,24.71
5.992,-0.93,-18.65,16.08,24.64
6.012,-1.03,-18.36,16.27,24.56
6.032,-0.93,-18.65,16.37,24.84
6.052,-1.22,-18.46,16.08,24.51
6.072,-0.93,-18.17,16.27,24.41
6.093,-0.93,-18.07,16.37,24.40
6.114,-1.22,-18.26,16.47,24.62
6.134,-1.12,-18.07,16.08,24.21
6.159,-1.61,-18.07,16.57,24.57
6.173,-1.32,-18.36,16.18,24.51
6.195,-0.93,-18.46,16.57,24.82
6.216,-0.93,-18.36,16.18,24.49
6.235,-1.12,-18.46,16.18,24.57
6.267,-0.83,-18.46,16.37,24.69
6.277,-1.32,-18.17,16.66,24.69
