Time,X,Y,Z
637530062121715680, -0.6678224, 42.70722, -7.642029
637530062121920720, -0.2558742, 42.98689, -7.635753
637530062122119620, 0.232285, 42.86038, -8.207974
637530062122323270, -0.07836661, 43.06415, -7.534736
637530062122525940, 0.009585187, 42.87725, -8.018367
637530062122726370, -0.4522496, 43.2147, -7.936975
637530062122927810, -0.1207142, 42.93068, -7.924676
637530062123125130, -0.3691593, 43.03058, -8.225374
637530062123325380, -0.3476954, 43.2443, -8.520971
637530062123526660, -0.4546803, 43.21609, -7.839359
637530062123727780, -0.4498188, 43.21331, -8.034592
637530062123935670, -0.5373577, 43.17398, -8.133907
637530062124143450, -0.1727839, 42.80276, -7.924151
637530062124334230, -0.4830226, 42.78032, -7.83386
637530062124538950, -0.2319815, 43.19921, -8.028966
637530062124739940, -0.37159, 43.03197, -8.127758
637530062124943420, -0.2718974, 43.06435, -8.516522
637530062125140840, -0.4356472, 43.4312, -8.03734
637530062125348740, -0.2889127, 43.07408, -7.833209
637530062125546370, -0.2982218, 42.85341, -8.025692
637530062125747250, -0.2106829, 42.89274, -7.926376
637530062125948180, -0.1561825, 43.01926, -8.024517
637530062126147310, -0.04491618, 42.75073, -7.920226
637530062126347960, -0.603599, 42.82818, -8.130633
637530062126549920, -0.1395811, 43.23576, -8.124882
637530062126750970, -0.04961145, 43.2737, -8.123182
637530062126952530, -0.08038445, 42.83931, -8.020067
637530062127155050, -0.1162666, 43.15413, -7.536961
637530062127354040, 0.1064342, 43.13725, -7.726568
637530062127555880, 0.09712407, 42.91658, -7.919051
637530062127759860, -0.1965132, 43.11063, -7.929125
637530062127964670, 0.4355378, 42.85462, -7.616652
637530062128159570, -0.0637821, 43.05581, -8.120433
637530062128360660, -0.2816204, 43.06991, -8.126058
637530062128565670, 0.1516254, 43.04311, -8.017191
637530062128770560, -0.04532908, 42.97696, -7.337279
637530062128970560, 0.1325923, 42.828, -7.81921
637530062129172680, -0.1847724, 43.32991, -7.834258
637530062129370980, -0.1424247, 43.46338, -7.444319
637530062129570910, -0.1065436, 43.14857, -7.927425
637530062129773890, 0.2509032, 43.30171, -7.823008
637530062129973710, -0.02143544, 43.18928, -7.730493
637530062130176230, 0.0616558, 43.00517, -8.018891
637530062130377070, 0.1278961, 43.35097, -8.022165
637530062130577460, -0.1304372, 42.93624, -7.534211
637530062130780510, 0.1443332, 43.04728, -7.724343
637530062130981780, 0.1892768, 43.69955, -7.830207
637530062131181620, 0.1491947, 43.0445, -7.919575
637530062131384130, -0.08994122, 43.36506, -8.02779
637530062131588650, -0.3316731, 43.16684, -7.640202
637530062131791250, 0.03792743, 43.31303, -8.023866
637530062131991940, 0.2012644, 43.17241, -7.9201
637530062132193110, 0.2839417, 43.21452, -7.625551
637530062132394330, 0.2294404, 43.08799, -7.527411
637530062132595310, 0.01646453, 43.09931, -7.728268
637530062132801270, 0.2867854, 42.9869, -8.306114
637530062132998490, -0.161044, 43.02204, -7.829284
637530062133199400, 0.01646453, 43.09931, -7.728268
637530062133399990, -0.04474995, 43.27092, -8.318414
637530062133614000, 0.0567943, 43.00795, -7.823659
637530062133809570, -0.1561825, 43.01926, -8.024517
637530062134009360, 0.2036951, 43.17102, -8.017715
637530062134220940, 0.03104904, 43.09097, -8.313965
637530062134408570, 0.0616558, 43.00517, -8.018891
637530062134610390, -0.2033906, 42.88857, -8.219225
637530062134810450, -0.5160601, 42.86751, -8.031318
637530062135012960, -0.4571111, 43.21748, -7.741743
637530062135214880, -0.4737134, 43.00098, -7.641377
637530062135418870, -0.03074458, 42.96862, -7.922976
637530062135621740, -0.189221, 43.10646, -8.221973
637530062135831130, -0.3385516, 42.94478, -7.930301
637530062136024140, -0.6725186, 43.23019, -7.844984
637530062136220890, -0.2840511, 43.0713, -8.028441
637530062136423450, -0.4027759, 42.82381, -7.441696
637530062136629080, -0.5253702, 42.64684, -8.223801
637530062136826020, -0.2319815, 43.19921, -8.028966
637530062137023340, -0.2820342, 43.29614, -7.54311
637530062137224380, -0.2344122, 43.20061, -7.93135
637530062137425510, -0.2863156, 43.59288, -8.329013
637530062137627490, -0.236843, 43.202, -7.833734
637530062137828250, -0.3102103, 43.38055, -7.9358
637530062138029860, -0.1847724, 43.32991, -7.834258
637530062138231800, -0.2058214, 42.88996, -8.121609
637530062138435810, -0.3622799, 43.25264, -7.935275
